Timestamp,Which is your favorite FBS college football team?,Which is conference is this team a member of?,Have you ever worked or been enrolled as a student at this school?,Have you ever been a season ticket holder at this school?,Have you attended a college football game in the past 5 years?,Please carefully select your 5 most important features at a college football game that would convince you to attend rather than watch on television. Please note they don't have to currently exist at your teams stadium.,What is your preferred kickoff time when attending a game?,Which stadium type do you prefer,Where do you prefer to watch a college football game,What is your age,What is your gender?
2020/03/29 12:43:22 AM AST,Mississippi State,SEC,Yes,Yes,Yes,Parking proximity to stadium and price;Availability of alcohol;Opportunity to watch other games;Climate controlled viewing/common areas to avoid heat or bad weather;Ability to receive real-time updates like watching on television,Early Evening (dusk),Open Air,At home,35-44,Male
2020/03/29 12:44:22 AM AST,Alabama,SEC,Yes,No,Yes,Lower ticket price;Phone service;Team performance;Availability of alcohol;Internet access,Late Evening (night),Open Air,At an open air stadium,25-34,Male
2020/03/29 1:47:21 AM AST,Stanford,PAC-12,Yes,No,No,Lower ticket price;Parking proximity to stadium and price;High quality opponent;Restroom cleanliness;Team performance,Morning/Early Afternoon,Open Air,At home,25-34,Male
2020/03/29 2:20:48 AM AST,Georgia,SEC,Yes,No,Yes,High quality opponent;In-stadium restaurants and dining options (not including concession stands);Availability of alcohol;In-stadium sports bar with extended hours;Merchandise availability and exclusive items only available in the stadium,Late Evening (night),Open Air,At home,25-34,Male
2020/03/29 2:21:08 AM AST,Washington State,PAC-12,Yes,No,Yes,"Lower ticket price;Team performance;Modern in-stadium video boards, audio, and lights;Live college football highlights from other games during timeouts;Ability to receive real-time updates like watching on television",Early Evening (dusk),Open Air,At home,25-34,Male
2020/03/29 3:30:23 AM AST,Oregon,PAC-12,Yes,No,No,Lower ticket price;High quality opponent;Team performance;Band and cheer performance;Availability of alcohol,Afternoon,Open Air,At an open air stadium,35-44,Male
2020/03/29 3:59:52 AM AST,Georgia Tech,ACC,No,Yes,Yes,"High quality opponent;Larger and/or more comfortable seats;Team performance;Modern in-stadium video boards, audio, and lights;Promotional give-a-ways",Early Evening (dusk),Open Air,At an open air stadium,18-24,Male
2020/03/29 4:10:48 AM AST,Ohio State,Big Ten,No,No,Yes,High quality opponent;Larger and/or more comfortable seats;Restroom cleanliness;Team performance;Internet access,Afternoon,Open Air,At home,35-44,Male
2020/03/29 4:11:39 AM AST,Ole Miss,SEC,No,Yes,Yes,Larger and/or more comfortable seats;Availability of alcohol;Internet access;Merchandise availability and exclusive items only available in the stadium;Ability to order concessions from seat,Early Evening (dusk),Open Air,At an open air stadium,18-24,Male
2020/03/29 4:22:08 AM AST,Oklahoma,Big 12,Yes,Yes,Yes,Lower ticket price;Parking proximity to stadium and price;High quality opponent;Opportunity to watch other games;Live college football highlights from other games during timeouts,Early Evening (dusk),Open Air,At home,45-54,Male
2020/03/29 4:51:45 AM AST,Colorado,PAC-12,Yes,No,Yes,Lower ticket price;Parking proximity to stadium and price;Restroom cleanliness;Team performance;Availability of alcohol,Afternoon,Open Air,At an open air stadium,25-34,Male
2020/03/29 5:52:56 AM AST,Oregon,PAC-12,No,No,Yes,Lower ticket price;Parking proximity to stadium and price;High quality opponent;Larger and/or more comfortable seats;Team performance,Afternoon,Dome,At home,25-34,Male
2020/03/29 7:54:47 AM AST,South Carolina,SEC,No,No,No,"Lower ticket price;Parking proximity to stadium and price;Team performance;Pre-game and post game activities (concerts, fireworks, etc.);Live college football highlights from other games during timeouts",Morning/Early Afternoon,Open Air,At an open air stadium,25-34,Male
2020/03/29 8:25:04 AM AST,Georgia Tech,ACC,Yes,No,Yes,"High quality opponent;Pre-game and post game activities (concerts, fireworks, etc.);Availability of alcohol;In-stadium sports bar with extended hours;Ability to receive real-time updates like watching on television",Afternoon,Open Air,At an open air stadium,25-34,Male
2020/03/29 8:29:51 AM AST,Oklahoma State,Big 12,Yes,Yes,Yes,"Phone service;Team performance;Modern in-stadium video boards, audio, and lights;Climate controlled viewing/common areas to avoid heat or bad weather;Live college football highlights from other games during timeouts",Early Evening (dusk),Open Air,At home,45-54,Male
2020/03/29 8:45:03 AM AST,Texas,Big 12,No,Yes,Yes,"Lower ticket price;Parking proximity to stadium and price;High quality concession options;Larger and/or more comfortable seats;Modern in-stadium video boards, audio, and lights",Early Evening (dusk),Open Air,At an open air stadium,55-64,Male
2020/03/29 8:53:07 AM AST,Kentucky,SEC,Yes,Yes,Yes,Lower ticket price;High quality concession options;Larger and/or more comfortable seats;Restroom cleanliness;Internet access,Afternoon,Open Air,At an open air stadium,45-54,Male
2020/03/29 9:06:02 AM AST,California,PAC-12,Yes,Yes,Yes,"Lower ticket price;High quality opponent;Team performance;Pre-game and post game activities (concerts, fireworks, etc.);Band and cheer performance",Afternoon,Open Air,At an open air stadium,55-64,Male
2020/03/29 9:12:45 AM AST,Oklahoma,Big 12,No,No,Yes,"Lower ticket price;High quality opponent;Team performance;Pre-game and post game activities (concerts, fireworks, etc.);Opportunity to watch other games",Afternoon,Open Air,At home,45-54,Male
2020/03/29 9:18:55 AM AST,Texas A&M,SEC,Yes,No,Yes,High quality opponent;Team performance;Band and cheer performance;In-stadium social/common areas;Internet access,Early Evening (dusk),Open Air,At an open air stadium,18-24,Male
2020/03/29 9:22:01 AM AST,Alabama,SEC,Yes,No,Yes,Lower ticket price;Parking proximity to stadium and price;Phone service;Internet access;Ability to receive real-time updates like watching on television,Early Evening (dusk),Open Air,At home,25-34,Male
2020/03/29 9:24:37 AM AST,Arkansas,SEC,No,No,Yes,Parking proximity to stadium and price;High quality opponent;Larger and/or more comfortable seats;Team performance;Live college football highlights from other games during timeouts,Early Evening (dusk),Open Air,At home,45-54,Male
2020/03/29 9:27:19 AM AST,Georgia Tech,ACC,Yes,Yes,Yes,"Lower ticket price;High quality opponent;Team performance;Modern in-stadium video boards, audio, and lights;Live college football highlights from other games during timeouts",Early Evening (dusk),Open Air,At an open air stadium,25-34,Male
2020/03/29 9:48:26 AM AST,Virginia Tech,ACC,Yes,No,Yes,High quality opponent;Larger and/or more comfortable seats;Team performance;In-stadium social/common areas;Availability of alcohol,Afternoon,Open Air,At an open air stadium,25-34,Male
2020/03/29 10:02:24 AM AST,Auburn,SEC,No,No,Yes,"Parking proximity to stadium and price;Phone service;Restroom cleanliness;Modern in-stadium video boards, audio, and lights;In-stadium events during the game (corporate activations, live music, celebrity and mascot meet and greets, autographs, auctions, etc.)",Afternoon,Open Air,At an open air stadium,25-34,Female
2020/03/29 10:18:58 AM AST,Virginia Tech,ACC,No,No,Yes,Parking proximity to stadium and price;High quality opponent;Restroom cleanliness;Team performance;Stadium staff friendliness,Early Evening (dusk),Open Air,At an open air stadium,35-44,Male
2020/03/29 10:22:48 AM AST,Auburn,SEC,Yes,Yes,Yes,"High quality concession options;Team performance;Modern in-stadium video boards, audio, and lights;Internet access;Live college football highlights from other games during timeouts",Early Evening (dusk),Open Air,At an open air stadium,18-24,Male
2020/03/29 11:24:30 AM AST,Oregon State,PAC-12,Yes,No,Yes,"Lower ticket price;Phone service;Team performance;Modern in-stadium video boards, audio, and lights;Availability of alcohol",Afternoon,Open Air,At an open air stadium,25-34,Male
2020/03/29 11:24:57 AM AST,Texas Tech,Big 12,No,No,Yes,Parking proximity to stadium and price;High quality opponent;Team performance;Band and cheer performance;Internet access,Early Evening (dusk),Open Air,At an open air stadium,18-24,Male
2020/03/29 11:29:07 AM AST,Georgia,SEC,No,Yes,Yes,"Pre-game and post game activities (concerts, fireworks, etc.);In-stadium restaurants and dining options (not including concession stands);Band and cheer performance;In-stadium sports bar with extended hours;In-stadium attractions (museum, virtual reality, arcade, physical football challenges, children play area, photo ops, etc.)",Morning/Early Afternoon,Open Air,At home,18-24,Male
2020/03/29 11:30:04 AM AST,Florida,SEC,No,No,Yes,"Lower ticket price;Parking proximity to stadium and price;High quality opponent;Team performance;Pre-game and post game activities (concerts, fireworks, etc.)",Early Evening (dusk),Open Air,At an open air stadium,Under 18,Male
2020/03/29 11:34:12 AM AST,Appalachian State,Sun Belt,Yes,No,Yes,Lower ticket price;High quality opponent;Larger and/or more comfortable seats;Team performance;Availability of alcohol,Early Evening (dusk),Open Air,At an open air stadium,25-34,Male
2020/03/29 11:43:07 AM AST,Ohio State,Big Ten,Yes,No,Yes,Lower ticket price;Parking proximity to stadium and price;High quality opponent;Availability of alcohol;Ability to order concessions from seat,Early Evening (dusk),Open Air,At home,25-34,Male
2020/03/29 11:45:27 AM AST,Tennessee,SEC,Yes,No,Yes,Team performance;Band and cheer performance;Availability of alcohol;In-stadium sports bar with extended hours;Live college football highlights from other games during timeouts,Early Evening (dusk),Open Air,At an open air stadium,25-34,Female
2020/03/29 11:57:13 AM AST,Virginia Tech,ACC,Yes,No,Yes,"Lower ticket price;High quality opponent;Phone service;Team performance;Modern in-stadium video boards, audio, and lights",Early Evening (dusk),Open Air,At home,35-44,Male
2020/03/29 12:14:40 PM AST,Alabama,SEC,Yes,No,Yes,"Lower ticket price;High quality opponent;Phone service;Modern in-stadium video boards, audio, and lights;Availability of alcohol",Late Evening (night),Open Air,At an open air stadium,18-24,Male
2020/03/29 12:17:03 PM AST,Alabama,SEC,No,No,Yes,Lower ticket price;Parking proximity to stadium and price;High quality opponent;Larger and/or more comfortable seats;Band and cheer performance,Early Evening (dusk),Open Air,At an open air stadium,35-44,Male
2020/03/29 12:24:31 PM AST,Kansas State,Big 12,Yes,No,Yes,"Lower ticket price;Parking proximity to stadium and price;Restroom cleanliness;Team performance;Modern in-stadium video boards, audio, and lights",Afternoon,Open Air,At an open air stadium,18-24,Male
2020/03/29 12:25:47 PM AST,Pittsburgh,ACC,Yes,Yes,Yes,Lower ticket price;High quality opponent;Team performance;Band and cheer performance;Availability of alcohol,Morning/Early Afternoon,Open Air,At an open air stadium,18-24,Male
2020/03/29 12:35:52 PM AST,Duke,ACC,Yes,No,Yes,Lower ticket price;High quality concession options;Larger and/or more comfortable seats;Availability of alcohol;Climate controlled viewing/common areas to avoid heat or bad weather,Late Evening (night),Open Air,At an on-campus bar or restaurant,25-34,Male
2020/03/29 12:50:19 PM AST,Oregon,PAC-12,Yes,No,Yes,"Lower ticket price;High quality concession options;Larger and/or more comfortable seats;Pre-game and post game activities (concerts, fireworks, etc.);Modern in-stadium video boards, audio, and lights",Afternoon,Open Air,At an open air stadium,25-34,Male
2020/03/29 1:55:33 PM AST,Penn State,Big Ten,Yes,No,Yes,Lower ticket price;High quality opponent;Phone service;Team performance;Band and cheer performance,Afternoon,Open Air,At home,25-34,Male
2020/03/29 2:16:21 PM AST,Texas,Big 12,Yes,Yes,Yes,Lower ticket price;Parking proximity to stadium and price;High quality opponent;Team performance;Availability of alcohol,Early Evening (dusk),Open Air,At an open air stadium,18-24,Male
2020/03/29 2:25:50 PM AST,Georgia,SEC,No,No,Yes,Lower ticket price;High quality opponent;Team performance;In-stadium restaurants and dining options (not including concession stands);Band and cheer performance,Afternoon,Open Air,At an open air stadium,Under 18,Male
2020/03/29 2:38:50 PM AST,Alabama,SEC,Yes,No,Yes,Parking proximity to stadium and price;High quality opponent;Availability of alcohol;Internet access;Ability to receive real-time updates like watching on television,Early Evening (dusk),Open Air,At home,25-34,Male
2020/03/29 2:43:43 PM AST,Tennessee,SEC,Yes,Yes,Yes,Lower ticket price;Larger and/or more comfortable seats;Team performance;Availability of alcohol;Climate controlled viewing/common areas to avoid heat or bad weather,Morning/Early Afternoon,Open Air,At home,35-44,Male
2020/03/29 2:44:54 PM AST,Alabama,SEC,Yes,No,Yes,"High quality opponent;Phone service;Larger and/or more comfortable seats;Team performance;Modern in-stadium video boards, audio, and lights",Early Evening (dusk),Open Air,At an open air stadium,35-44,Male
2020/03/29 2:58:18 PM AST,Iowa State,Big 12,Yes,Yes,No,Lower ticket price;Team performance;Band and cheer performance;Availability of alcohol;Internet access,Afternoon,Dome,At home,25-34,Male
2020/03/29 3:16:29 PM AST,Virginia Tech,ACC,Yes,Yes,Yes,Lower ticket price;High quality opponent;High quality concession options;Team performance;Live college football highlights from other games during timeouts,Early Evening (dusk),Open Air,At home,45-54,Male
2020/03/29 3:35:34 PM AST,Florida,SEC,Yes,Yes,No,Lower ticket price;Parking proximity to stadium and price;In-stadium social/common areas;Availability of alcohol;Climate controlled viewing/common areas to avoid heat or bad weather,Early Evening (dusk),Dome,At home,35-44,Male
2020/03/29 3:38:01 PM AST,Wisconsin,Big Ten,No,No,Yes,Lower ticket price;High quality opponent;Larger and/or more comfortable seats;Team performance;Availability of alcohol,Afternoon,Open Air,At home,25-34,Female
2020/03/29 3:40:55 PM AST,Tulane,ACC,No,No,Yes,"Larger and/or more comfortable seats;Team performance;Modern in-stadium video boards, audio, and lights;Availability of alcohol;Live college football highlights from other games during timeouts",Afternoon,Open Air,At home,65+,Male
2020/03/29 4:05:19 PM AST,LSU,SEC,No,No,No,Lower ticket price;High quality opponent;Team performance;Availability of alcohol;Ability to order concessions from seat,Late Evening (night),Open Air,At home,35-44,Male
2020/03/29 4:15:01 PM AST,Georgia Tech,ACC,Yes,Yes,Yes,High quality opponent;Larger and/or more comfortable seats;Team performance;Availability of alcohol;Climate controlled viewing/common areas to avoid heat or bad weather,Afternoon,Open Air,At an open air stadium,25-34,Male
2020/03/29 4:18:31 PM AST,Oklahoma,Big 12,No,No,Yes,"Lower ticket price;Parking proximity to stadium and price;High quality opponent;Larger and/or more comfortable seats;Pre-game and post game activities (concerts, fireworks, etc.)",Late Evening (night),Open Air,At home,18-24,Male
2020/03/29 4:21:27 PM AST,Georgia,SEC,No,No,Yes,Lower ticket price;High quality opponent;Team performance;Merchandise availability and exclusive items only available in the stadium;Ability to order concessions from seat,Afternoon,Open Air,At an open air stadium,25-34,Male
2020/03/29 7:48:03 PM AST,Arkansas,SEC,Yes,No,Yes,"High quality opponent;Modern in-stadium video boards, audio, and lights;Internet access;Live college football highlights from other games during timeouts;Ability to receive real-time updates like watching on television",Afternoon,Open Air,At an open air stadium,25-34,Male
2020/03/29 9:46:17 PM AST,Auburn,SEC,No,Yes,Yes,Lower ticket price;Parking proximity to stadium and price;High quality opponent;Restroom cleanliness;Team performance,Early Evening (dusk),Open Air,At an open air stadium,35-44,Male
2020/03/29 10:28:27 PM AST,Miami (OH),Mid-American,Yes,No,Yes,"High quality opponent;High quality concession options;Phone service;Modern in-stadium video boards, audio, and lights;Band and cheer performance",Afternoon,Open Air,At an open air stadium,18-24,Male
2020/03/30 5:42:07 AM AST,Alabama,SEC,No,Yes,Yes,"High quality opponent;Phone service;Team performance;Modern in-stadium video boards, audio, and lights;Availability of alcohol",Early Evening (dusk),Open Air,At home,35-44,Male
2020/03/30 8:26:23 AM AST,Alabama,SEC,Yes,No,Yes,Parking proximity to stadium and price;High quality opponent;High quality concession options;Team performance;Availability of alcohol,Early Evening (dusk),Open Air,At an open air stadium,25-34,Male
2020/03/30 8:52:05 AM AST,Clemson,ACC,Yes,Yes,Yes,"Pre-game and post game activities (concerts, fireworks, etc.);Availability of alcohol;Ability to view behind-the-scenes content in-stadium (audio, visual, virtual reality);Ability to receive real-time updates like watching on television;Ability to order concessions from seat",Early Evening (dusk),Open Air,At an open air stadium,18-24,Female
2020/03/30 9:14:32 AM AST,Alabama,SEC,Yes,No,Yes,Lower ticket price;Larger and/or more comfortable seats;Availability of alcohol;Climate controlled viewing/common areas to avoid heat or bad weather;Ability to receive real-time updates like watching on television,Afternoon,Open Air,At an open air stadium,25-34,Male
2020/03/30 9:40:21 AM AST,Kansas State,Big 12,Yes,No,Yes,Lower ticket price;High quality opponent;Phone service;Internet access;Live college football highlights from other games during timeouts,Afternoon,Open Air,At home,25-34,Male
2020/03/30 3:09:57 PM AST,Texas A&M,SEC,Yes,No,Yes,Lower ticket price;High quality concession options;Opportunity to watch other games;Internet access;Ability to receive real-time updates like watching on television,Early Evening (dusk),Open Air,At home,25-34,Male
2020/03/30 3:20:54 PM AST,LSU,SEC,No,No,Yes,High quality concession options;Phone service;Larger and/or more comfortable seats;Restroom cleanliness;Climate controlled viewing/common areas to avoid heat or bad weather,Afternoon,Dome,At a tailgate,45-54,Female
2020/03/30 3:53:56 PM AST,Florida,SEC,Yes,No,Yes,"Lower ticket price;High quality concession options;Phone service;In-stadium attractions (museum, virtual reality, arcade, physical football challenges, children play area, photo ops, etc.);Live college football highlights from other games during timeouts",Early Evening (dusk),Open Air,At home,25-34,Male
2020/03/30 5:45:25 PM AST,TCU,Big 12,Yes,No,Yes,"Lower ticket price;High quality opponent;Larger and/or more comfortable seats;Modern in-stadium video boards, audio, and lights;Availability of alcohol",Late Evening (night),Open Air,At an open air stadium,18-24,Male
2020/03/31 6:54:12 PM AST,Iowa State,Big 12,Yes,Yes,Yes,"Parking proximity to stadium and price;Modern in-stadium video boards, audio, and lights;Band and cheer performance;Internet access;Live college football highlights from other games during timeouts",Early Evening (dusk),Open Air,At an open air stadium,18-24,Male
2020/04/01 6:52:28 PM AST,Auburn,SEC,Yes,No,Yes,Lower ticket price;Larger and/or more comfortable seats;Restroom cleanliness;Stadium staff friendliness;Availability of alcohol,Early Evening (dusk),Open Air,At an on-campus bar or restaurant,25-34,Male
2020/04/01 7:07:34 PM AST,Tennessee,SEC,Yes,No,Yes,"Lower ticket price;Team performance;Modern in-stadium video boards, audio, and lights;Availability of alcohol;Live college football highlights from other games during timeouts",Early Evening (dusk),Open Air,At an open air stadium,18-24,Male
2020/04/01 11:30:40 PM AST,Auburn,SEC,No,No,No,Lower ticket price;Parking proximity to stadium and price;High quality concession options;Larger and/or more comfortable seats;Restroom cleanliness,Afternoon,Dome,At a tailgate,25-34,Male
2020/04/02 1:37:53 PM AST,Alabama,SEC,Yes,No,Yes,Lower ticket price;High quality opponent;Team performance;In-stadium social/common areas;Ability to receive real-time updates like watching on television,Early Evening (dusk),Open Air,At an open air stadium,25-34,Male
2020/04/02 2:47:09 PM AST,Alabama,SEC,Yes,Yes,Yes,Lower ticket price;High quality opponent;Phone service;Team performance;Climate controlled viewing/common areas to avoid heat or bad weather,Early Evening (dusk),Open Air,At an open air stadium,25-34,Male
2020/04/02 8:37:09 PM AST,Alabama,SEC,Yes,No,Yes,Parking proximity to stadium and price;High quality opponent;Opportunity to watch other games;Internet access;Ability to receive real-time updates like watching on television,Early Evening (dusk),Dome,At a dome stadium,35-44,Male
2020/04/03 11:44:56 AM AST,Alabama,SEC,Yes,No,Yes,Lower ticket price;High quality opponent;Team performance;In-stadium social/common areas;Ability to receive real-time updates like watching on television,Early Evening (dusk),Open Air,At an open air stadium,25-34,Male
2020/04/04 12:30:56 PM AST,Auburn,SEC,Yes,No,Yes,Lower ticket price;Parking proximity to stadium and price;Availability of alcohol;Live college football highlights from other games during timeouts;Ability to receive real-time updates like watching on television,Early Evening (dusk),Open Air,At home,35-44,Female
2020/04/04 3:00:45 PM AST,Auburn,SEC,Yes,Yes,Yes,"Parking proximity to stadium and price;Larger and/or more comfortable seats;Pre-game and post game activities (concerts, fireworks, etc.);Live college football highlights from other games during timeouts;Ability to receive real-time updates like watching on television",Early Evening (dusk),Open Air,At an open air stadium,35-44,Female
2020/04/04 10:01:41 PM AST,Alabama,SEC,Yes,Yes,Yes,Lower ticket price;Parking proximity to stadium and price;High quality concession options;Team performance;Live college football highlights from other games during timeouts,Afternoon,Open Air,At home,45-54,Male
2020/04/04 11:00:35 PM AST,Mississippi State,SEC,Yes,Yes,Yes,"Band and cheer performance;Availability of alcohol;In-stadium events during the game (corporate activations, live music, celebrity and mascot meet and greets, autographs, auctions, etc.);In-stadium sports bar with extended hours;Ability to receive real-time updates like watching on television",Early Evening (dusk),Open Air,At an open air stadium,18-24,Male
2020/04/05 2:22:36 PM AST,LSU,SEC,No,No,Yes,"Team performance;In-stadium social/common areas;Availability of alcohol;In-stadium attractions (museum, virtual reality, arcade, physical football challenges, children play area, photo ops, etc.);Merchandise availability and exclusive items only available in the stadium",Early Evening (dusk),Open Air,At an open air stadium,18-24,Male